ref;value
C2;100n
C3;10u
C4;100n
C5;10u
C7;47n
C8;100n
C9;100n
C10;47n
C11;47n
C12;33n
CON1;USB-micro-B
CON2;USB-mini-B
D1;RED
D2;GREEN
D11;RED
D12;GREEN
D13;YELLOW
D14;YELLOW
D15;YELLOW
D16;YELLOW
D17;YELLOW
D18;YELLOW
F1;FUSE
IC1;MAX3243
IC2;FT232BL
J1;COM LEFT
J2;COM RIGHT
J3;FTDI
J4;COM RIGHT FTDI
J5;UART
J6;COM LEFT COM
J7;COM RIGHT COM
L1;15uH
R1;470R
R2;27R
R3;27R
R4;1k5
R5;470R
R6;470R
R7;0R
R8;0R
R9;0R
R10;0R
R11;0R
R15;470R
R16;470R
R17;470R
R18;470R
R19;470R
R20;470R
R21;470R
R22;470R
